date,symbol,open,high,low,close,Volume BTC,Volume USD
2020-07-27,BTC/USD,9943.0,11420.0,9936.5,11046.0,2682.439800144849,29630230.0324
2020-07-26,BTC/USD,9711.0,10201.5,9657.5,9941.5,988.7787902831565,9829944.3436
2020-07-25,BTC/USD,9549.5,9749.0,9535.0,9711.0,738.2633492688702,7169275.38475
2020-07-24,BTC/USD,9610.5,9648.5,9476.5,9552.0,591.1023806113902,5646209.9396
2020-07-23,BTC/USD,9537.0,9682.5,9451.5,9610.5,653.6334993028457,6281744.74505
2020-07-22,BTC/USD,9394.5,9570.5,9276.0,9538.0,542.4773146676451,5174148.6273
2020-07-21,BTC/USD,9163.0,9442.5,9155.5,9394.0,761.7088010538641,7155492.4771
2020-07-20,BTC/USD,9213.5,9226.0,9130.5,9163.0,445.72093963221647,4084140.96985
2020-07-19,BTC/USD,9172.0,9241.0,9103.0,9213.5,350.2590711781625,3227111.9523
2020-07-18,BTC/USD,9153.0,9209.5,9124.5,9172.5,257.55664129735624,2362438.2923
2020-07-17,BTC/USD,9130.5,9182.0,9080.0,9153.0,378.2630089697367,3462241.3211
2020-07-16,BTC/USD,9190.0,9217.5,9032.5,9130.5,578.3655947428947,5280767.0628
2020-07-15,BTC/USD,9257.5,9273.5,9153.5,9190.0,454.5862328073993,4177647.4795
2020-07-14,BTC/USD,9237.5,9278.5,9108.0,9257.5,728.2777366459627,6742031.147000001
2020-07-13,BTC/USD,9305.0,9341.0,9196.5,9237.5,553.3017622462787,5111125.02875
2020-07-12,BTC/USD,9233.0,9344.5,9156.0,9305.0,559.5153574476088,5206290.40105
2020-07-11,BTC/USD,9291.0,9301.0,9180.5,9233.0,310.41543899057723,2866065.7482
2020-07-10,BTC/USD,9235.5,9316.5,9112.5,9291.0,473.1188850446669,4395747.56095
2020-07-09,BTC/USD,9438.5,9443.5,9159.5,9235.5,599.4168225488604,5535914.06465
2020-07-08,BTC/USD,9255.5,9478.5,9234.5,9438.5,514.3630514859352,4854815.66145
2020-07-07,BTC/USD,9342.0,9380.5,9206.5,9255.5,403.4099585867862,3733760.8717
2020-07-06,BTC/USD,9076.0,9379.0,9064.0,9342.0,675.1692685292227,6307431.3066
2020-07-05,BTC/USD,9140.0,9146.5,8906.5,9076.0,370.1854826300132,3359803.44035
2020-07-04,BTC/USD,9058.5,9194.5,9044.5,9140.0,423.4591778282276,3870416.88535
2020-07-03,BTC/USD,9089.0,9124.5,9041.5,9058.5,292.15688496991777,2646503.1425
2020-07-02,BTC/USD,9238.5,9267.0,8941.0,9089.0,796.8786825998459,7242830.34615
2020-07-01,BTC/USD,9136.0,9297.0,9088.5,9238.5,606.3784310007037,5602027.1348
2020-06-30,BTC/USD,9183.5,9200.5,9056.0,9136.0,737.8682035847197,6741163.90795
2020-06-29,BTC/USD,9114.0,9234.5,9015.0,9190.0,873.2635340261154,8025291.8777
2020-06-28,BTC/USD,9004.0,9189.5,8931.0,9114.0,783.7730991496599,7143308.02565
2020-06-27,BTC/USD,9154.0,9186.5,8820.5,9004.0,1343.3240358396267,12095289.6187
2020-06-26,BTC/USD,9239.5,9291.0,9030.5,9154.0,1481.906259744374,13565369.9017
2020-06-25,BTC/USD,9281.5,9335.5,8989.5,9239.5,1311.6734343146275,12119206.69635
2020-06-24,BTC/USD,9621.5,9666.5,9038.5,9281.5,991.9415705812636,9206705.68735
2020-06-23,BTC/USD,9688.5,9721.0,9574.0,9621.5,512.8524357064906,4934409.71015
2020-06-22,BTC/USD,9283.0,9791.0,9264.0,9688.5,600.0979116220261,5814048.61675
2020-06-21,BTC/USD,9358.5,9421.5,9271.0,9283.0,302.11982995260155,2804578.38145
2020-06-20,BTC/USD,9299.5,9394.0,9165.0,9358.5,396.202979312924,3707865.5819
2020-06-19,BTC/USD,9377.0,9430.0,9231.5,9299.5,722.3853293510404,6717822.3703
2020-06-18,BTC/USD,9456.0,9478.5,9271.0,9377.0,589.924289458249,5531720.06225
2020-06-17,BTC/USD,9527.5,9561.5,9232.5,9456.0,823.8021062129865,7789872.71635
2020-06-16,BTC/USD,9429.5,9591.5,9381.0,9527.5,892.763388737864,8505803.1862
2020-06-15,BTC/USD,9334.5,9500.5,8896.5,9429.5,993.3482063417996,9366776.9117
2020-06-14,BTC/USD,9476.0,9485.5,9240.0,9334.5,272.541668198618,2544040.2018
2020-06-13,BTC/USD,9463.5,9499.5,9350.5,9476.0,168.68371617771209,1598446.8945
2020-06-12,BTC/USD,9270.5,9553.0,9232.0,9463.5,540.3207559042638,5113325.4735
2020-06-11,BTC/USD,9896.0,9979.0,9060.0,9270.0,908.05238688781,8417645.62645
2020-06-10,BTC/USD,9779.5,10011.0,9660.0,9896.0,480.07071641572367,4750779.80965
2020-06-09,BTC/USD,9784.5,9890.0,9565.0,9777.5,410.17644548708773,4010500.19575
2020-06-08,BTC/USD,9753.5,9819.5,9634.0,9784.5,290.30555652818236,2840494.71785
2020-06-07,BTC/USD,9665.5,9820.0,9376.0,9753.5,493.79561808068894,4816235.56095
2020-06-06,BTC/USD,9617.0,9733.5,9530.0,9665.5,190.01181325332368,1836559.1809999999
2020-06-05,BTC/USD,9791.5,9859.5,9588.0,9617.0,604.4914544556515,5813394.3175
2020-06-04,BTC/USD,9666.5,9890.0,9451.0,9791.5,741.292641045805,7258366.8948
